,Word,Counts
749,younger,22
750,Cursed,29
751,servant,295
752,servants,252
753,Blessed,118
754,enlarge,9
755,these,889
756,Gomer,1
757,Magog,0
758,Madai,0
759,Javan,1
760,Tubal,0
761,Meshech,3
762,Tiras,0
763,Ashkenaz,0
764,Riphath,0
765,Togarmah,2
766,Elishah,1
767,Tarshish,7
768,Kittim,0
769,Dodanim,0
770,By,83
771,isles,21
772,Gentiles,50
773,lands,14
774,tongue,78
775,families,86
776,nations,175
777,Cush,2
778,Mizraim,2
779,Phut,1
780,Seba,2
781,Sabtah,0
782,Raamah,0
783,Sabtechah,0
784,Sheba,19
785,Dedan,4
786,Nimrod,2
787,He,741
788,hunter,1
789,wherefore,86
790,Even,96
791,kingdom,241
792,Babel,0
793,Erech,0
794,Accad,0
795,Calneh,0
796,Shinar,1
797,Out,24
798,Asshur,3
799,Nineveh,9
800,Rehoboth,2
801,Calah,0
802,Resen,1
803,Ludim,0
804,Anamim,0
805,Lehabim,0
806,Naphtuhim,0
807,Pathrusim,0
808,Casluhim,0
809,Philistim,0
810,Caphtorim,0
811,Sidon,3
812,Heth,1
813,Jebusite,2
814,Amorite,3
815,Girgasite,0
816,Hivite,1
817,Arkite,0
818,Sinite,0
819,Arvadite,0
820,Zemarite,0
821,Hamathite,0
822,afterward,47
823,Canaanites,22
824,spread,106
825,abroad,50
826,border,109
827,comest,25
828,Gerar,2
829,Gaza,6
830,goest,33
831,Sodom,27
832,Gomorrah,5
833,Admah,0
834,Zeboim,1
835,Lasha,0
836,tongues,12
837,countries,21
838,Eber,5
839,elder,15
840,Elam,6
841,Arphaxad,6
842,Lud,1
843,Aram,1
844,Uz,0
845,Hul,0
846,Gether,0
847,Mash,0
848,Salah,4
849,Peleg,3
850,Joktan,2
851,Almodad,0
852,Sheleph,0
853,Hazarmaveth,0
854,Jerah,0
855,Hadoram,3
856,Uzal,0
857,Diklah,0
858,Obal,0
859,Abimael,0
860,Ophir,3
861,Jobab,5
862,dwelling,50
863,Mesha,2
864,Sephar,1
865,mount,205
866,language,7
867,journeyed,19
868,plain,40
869,brick,2
870,burn,125
871,thoroughly,1
872,slime,3
873,mortar,2
874,build,141
875,tower,30
876,top,81
877,reach,12
878,we,1171
879,scattered,51
880,down,802
881,people,1142
882,begin,25
883,nothing,137
884,imagined,2
885,confound,4
886,understand,55
887,anothers,0
888,left,261
889,scatter,38
890,Reu,3
891,Serug,3
892,Nahor,4
893,Terah,6
894,nineteen,3
895,Abram,32
896,Haran,5
897,Lot,21
898,nativity,1
899,Ur,4
900,Chaldees,4
901,Abrams,0
902,Sarai,11
903,Nahors,0
904,Milcah,2
905,daughter,220
906,Iscah,0
907,barren,12
908,child,106
909,law,254
910,Get,31
911,country,80
912,kindred,8
913,show,63
914,nation,70
915,bless,101
916,blessing,45
917,curseth,10
918,departed,156
919,spoken,215
920,souls,36
921,passed,143
922,Sichem,0
923,Moreh,0
924,Canaanite,4
925,appeared,59
926,who,626
927,mountain,66
928,Bethel,19
929,pitched,75
930,having,167
931,west,40
932,Hai,1
933,going,85
934,still,47
935,south,78
936,famine,41
937,Egypt,148
938,sojourn,26
939,grievous,26
940,near,139
941,enter,132
942,Egyptians,54
943,say,597
944,save,199
945,Say,43
946,pray,273
947,beheld,34
948,princes,171
949,Pharaoh,118
950,commended,6
951,Pharaohs,0
952,entreated,10
953,oxen,37
954,asses,21
955,menservants,2
956,maidservants,1
957,camels,20
958,plagued,4
959,plagues,12
960,didst,105
961,tell,175
962,saidst,9
963,She,50
964,might,398
965,therefore,675
966,away,572
967,rich,54
968,silver,118
969,journeys,4
970,been,300
971,flocks,37
972,herds,16
973,able,151
974,could,161
975,strife,21
976,herdmen,5
977,Lots,0
978,Perizzite,1
979,dwelled,5
980,Is,149
981,separate,28
982,thyself,120
983,wilt,178
984,right,290
985,or,802
986,depart,76
987,lifted,149
988,Jordan,70
989,like,558
990,Zoar,1
991,Then,1361
992,separated,30
993,cities,286
994,wicked,223
995,sinners,26
996,Lift,19
997,thine,781
998,northward,5
999,southward,7
1000,westward,9
1001,seest,23
1002,number,129
1003,numbered,98
1004,Arise,12
1005,walk,172
1006,Mamre,1
1007,Hebron,16
1008,built,146
1009,Amraphel,2
1010,king,1418
1011,Arioch,5
1012,Ellasar,0
1013,Chedorlaomer,2
1014,Tidal,2
1015,war,110
1016,Bera,1
1017,Birsha,1
1018,Shinab,1
1019,Shemeber,1
1020,Zeboiim,0
1021,Bela,9
1022,joined,41
1023,vale,5
1024,Siddim,1
1025,salt,22
1026,Twelve,1
1027,served,69
1028,thirteenth,11
1029,rebelled,29
1030,fourteenth,25
1031,kings,241
1032,smote,218
1033,Rephaim,1
1034,Ashteroth,1
1035,Karnaim,0
1036,Zuzims,1
1037,Emins,1
1038,Shaveh,1
1039,Kiriathaim,1
1040,Horites,1
1041,Seir,11
1042,Elparan,0
1043,wilderness,114
1044,Enmishpat,0
1045,Kadesh,5
1046,Amalekites,11
1047,Amorites,12
1048,Hazezontamar,0
1049,battle,65
1050,With,51
1051,full,217
1052,pits,1
1053,fled,89
1054,goods,13
1055,victuals,6
1056,escaped,40
1057,Hebrew,17
1058,Eshcol,0
1059,Aner,1
1060,confederate,3
1061,captive,35
1062,armed,26
1063,trained,1
1064,eighteen,17
1065,pursued,35
1066,Dan,26
1067,himself,317
1068,Hobah,0
1069,Damascus,17
1070,back,97
1071,women,97
1072,slaughter,20
1073,valley,87
1074,dale,0
1075,Melchizedek,1
1076,Salem,2
1077,priest,272
1078,most,126
1079,possessor,2
1080,enemies,110
1081,tithes,15
1082,Give,84
1083,persons,24
1084,mine,521
1085,thread,5
1086,shoelatchet,0
1087,Save,15
1088,portion,77
1089,After,71
1090,word,544
1091,vision,38
1092,Fear,56
1093,am,760
1094,shield,20
1095,exceeding,58
1096,reward,49
1097,seeing,95
1098,childless,1
1099,steward,6
1100,Eliezer,4
1101,heir,10
1102,bowels,27
1103,Look,19
1104,believed,82
1105,counted,39
1106,righteousness,134
1107,inherit,53
1108,whereby,33
1109,Take,153
1110,heifer,13
1111,goat,19
1112,ram,39
1113,turtledove,1
1114,pigeon,0
1115,each,47
1116,piece,30
1117,birds,18
1118,carcasses,6
1119,sun,87
1120,horror,3
1121,Know,33
1122,surety,13
1123,stranger,64
1124,theirs,8
1125,serve,177
1126,afflict,33
1127,judge,138
1128,peace,199
1129,buried,90
1130,age,11
1131,hither,28
1132,iniquity,121
1133,dark,24
1134,smoking,4
1135,furnace,10
1136,burning,42
1137,lamp,10
1138,pieces,56
1139,Kenites,2
1140,Kenizzites,0
1141,Kadmonites,0
1142,Hittites,0
1143,Perizzites,2
1144,Girgashites,0
1145,Jebusites,4
1146,handmaid,17
1147,Egyptian,8
1148,Hagar,6
1149,maid,20
1150,obtain,13
1151,mistress,4
1152,despised,45
1153,wrong,9
1154,bosom,10
1155,pleaseth,6
1156,dealt,56
1157,hardly,8
1158,angel,168
1159,fountain,28
1160,Shur,0
1161,Sarais,0
1162,camest,19
1163,whither,102
1164,flee,82
1165,Return,11
1166,submit,10
1167,multitude,161
1168,Ishmael,27
1169,affliction,35
1170,wild,39
1171,Have,61
1172,here,78
1173,seeth,46
1174,Wherefore,234
1175,Beerlahairoi,0
1176,Bered,1
1177,fourscore,32
1178,Almighty,26
1179,As,255
1180,many,442
1181,Neither,102
1182,Abraham,114
1183,possession,45
1184,among,840
1185,circumcised,15
1186,circumcise,7
1187,foreskin,6
1188,betwixt,14
1189,bought,39
1190,money,77
1191,must,125
1192,needs,16
1193,uncircumcised,22
1194,Sarah,29
1195,yea,7
1196,laughed,12
1197,Shall,78
1198,O,975
1199,indeed,51
1200,Isaac,60
1201,beget,7
1202,next,49
1203,talking,6
1204,Abrahams,0
1205,thirteen,13
1206,plains,23
1207,sat,176
1208,stood,302
1209,ran,52
1210,bowed,72
1211,favor,18
1212,little,206
1213,fetched,17
1214,wash,76
1215,feet,110
1216,yourselves,112
1217,fetch,29
1218,morsel,9
1219,hearts,55
1220,hastened,6
1221,ready,81
1222,quickly,15
1223,measures,24
1224,fine,107
1225,meal,3
1226,knead,2
1227,cakes,16
1228,hearth,2
1229,herd,13
1230,calf,14
1231,tender,32
1232,hasted,14
1233,butter,2
1234,milk,31
1235,dressed,4
1236,certainly,29
1237,behind,59
1238,stricken,14
1239,ceased,16
1240,manner,148
1241,herself,27
1242,waxed,36
1243,pleasure,37
1244,lord,127
1245,being,271
1246,laugh,10
1247,too,47
1248,hard,44
1249,At,63
1250,denied,16
1251,Nay,1
1252,hide,73
1253,Seeing,18
1254,command,91
1255,household,19
1256,justice,12
1257,judgment,153
1258,cry,117
1259,whether,136
1260,altogether,24
1261,drew,84
1262,Wilt,30
1263,Peradventure,11
1264,spare,25
1265,far,150
1266,Judge,11
1267,find,144
1268,sakes,11
1269,answered,385
1270,speak,345
1271,ashes,21
1272,lack,10
1273,fortys,0
1274,Oh,31
1275,angry,31
1276,twentys,0
1277,once,33
1278,tens,0
1279,soon,64
1280,communing,2
1281,angels,56
1282,gate,140
1283,lords,26
1284,turn,236
1285,tarry,36
1286,rise,108
1287,early,64
1288,ways,83
1289,abide,68
1290,street,19
1291,pressed,13
1292,feast,82
1293,bake,8
1294,unleavened,47
1295,lay,217
1296,compassed,42
1297,round,292
1298,quarter,3
1299,wickedly,8
1300,known,174
1301,shadow,59
1302,roof,12
1303,Stand,19
1304,fellow,16
1305,deal,52
1306,worse,19
1307,sore,73
1308,break,121
1309,blindness,3
1310,small,77
1311,wearied,12
1312,besides,2
1313,waxen,11
1314,married,25
1315,Up,0
1316,get,79
1317,seemed,14
1318,mocked,18
1319,arose,86
1320,consumed,69
1321,while,153
1322,lingered,0
1323,hold,159
1324,merciful,26
1325,Escape,1
1326,stay,22
1327,escape,32
1328,magnified,17
1329,mercy,190
1330,showed,52
1331,saving,12
1332,cannot,172
1333,some,186
1334,thither,48
1335,See,19
1336,overthrow,15
1337,Haste,3
1338,anything,5
1339,risen,42
1340,rained,8
1341,brimstone,4
1342,fire,256
1343,overthrew,11
1344,inhabitants,182
1345,pillar,25
1346,gat,20
1347,smoke,25
1348,feared,59
1349,cave,16
1350,firstborn,65
1351,Our,33
1352,drink,218
1353,lie,127
1354,preserve,27
1355,perceived,33
1356,nor,593
1357,morrow,59
1358,yesternight,1
1359,Moab,61
1360,Moabites,11
1361,Benammi,0
1362,Ammon,36
1363,sojourned,9
1364,Abimelech,41
1365,dream,31
1366,dead,134
1367,Said,4
1368,integrity,8
1369,innocency,2
1370,withheld,6
1371,sinning,2
1372,suffered,46
1373,restore,33
1374,prophet,126
1375,ears,91
1376,offended,14
1377,deeds,18
1378,ought,88
1379,sawest,16
1380,thought,71
1381,Surely,84
1382,wander,12
1383,kindness,32
1384,womenservants,0
1385,restored,21
1386,thousand,317
1387,thus,263
1388,reproved,7
1389,prayed,45
1390,healed,47
1391,fast,51
1392,wombs,2
1393,visited,20
1394,hear,310
1395,suck,11
1396,weaned,7
1397,mocking,4
1398,Cast,19
1399,bondwoman,4
1400,lad,20
1401,bottle,11
1402,putting,17
1403,shoulder,15
1404,wandered,9
1405,Beersheba,8
1406,spent,12
1407,cast,457
1408,shrubs,0
1409,shot,14
1410,death,106
1411,wept,39
1412,aileth,7
1413,archer,1
1414,Paran,0
1415,Phichol,3
1416,chief,251
1417,captain,120
1418,swear,36
1419,falsely,9
1420,Abimelechs,0
1421,violently,10
1422,wot,9
1423,ewe,6
1424,lambs,48
1425,mean,18
1426,witness,86
1427,digged,28
1428,sware,70
1429,Philistines,123
1430,grove,9
1431,tempt,14
1432,lovest,10
1433,Moriah,0
1434,offer,203
1435,saddled,8
1436,ass,35
1437,clave,14
1438,afar,48
1439,Abide,5
1440,yonder,4
1441,worship,90
1442,knife,2
1443,Here,21
1444,lamb,48
1445,provide,7
1446,order,40
1447,bound,91
1448,stretched,70
1449,Lay,9
1450,fearest,2
1451,caught,32
1452,thicket,1
1453,horns,48
1454,stead,10
1455,Jehovahjireh,0
1456,sworn,42
1457,saith,1113
1458,multiplying,2
1459,sand,21
1460,shore,5
1461,possess,94
1462,obeyed,37
1463,Huz,1
1464,Buz,1
1465,Kemuel,2
1466,Chesed,0
1467,Hazo,0
1468,Pildash,0
1469,Jidlaph,0
1470,Bethuel,6
1471,Rebekah,18
1472,concubine,9
1473,Reumah,0
1474,Tebah,0
1475,Gaham,0
1476,Thahash,0
1477,Maachah,9
1478,Kirjatharba,0
1479,mourn,23
1480,weep,26
1481,sojourner,4
1482,buryingplace,5
1483,bury,35
1484,prince,83
1485,choice,21
1486,sepulchres,10
1487,none,307
1488,withhold,5
1489,sepulchre,24
1490,communed,18
1491,mind,41
1492,entreat,8
1493,Ephron,10
1494,Zohar,1
1495,Machpelah,1
1496,much,243
1497,worth,7
1498,Hittite,7
1499,audience,10
1500,shekels,38
1501,weighed,15
1502,named,54
1503,current,1
1504,merchant,8
1505,borders,30
1506,about,426
1507,sure,31
1508,eldest,11
1509,ruled,10
1510,Put,28
1511,thigh,9
1512,willing,28
1513,follow,66
1514,Beware,14
1515,send,197
1516,clear,13
1517,oath,35
1518,master,48
1519,matter,35
1520,Mesopotamia,1
1521,kneel,2
1522,draw,62
1523,speed,6
1524,stand,201
1525,damsel,27
1526,pitcher,9
1527,Drink,5
1528,thereby,8
1529,speaking,43
1530,virgin,19
1531,giving,26
1532,drinking,10
1533,emptied,6
1534,trough,0
1535,wondering,2
1536,held,50
1537,wit,3
1538,journey,30
1539,prosperous,3
1540,golden,61
1541,earring,5
1542,half,107
1543,shekel,30
1544,weight,34
1545,bracelets,5
1546,Whose,30
1547,room,21
1548,lodge,20
1549,moreover,16
1550,straw,11
1551,provender,5
1552,enough,12
1553,worshipped,55
1554,destitute,5
1555,truth,96
1556,led,67
1557,masters,7
1558,mothers,2
1559,Laban,34
1560,sisters,5
1561,words,356
1562,standest,6
1563,prepared,85
1564,ungirded,1
1565,mens,0
1566,errand,2
1567,Speak,59
1568,prosper,19
1569,cometh,215
1570,Both,9
1571,haste,17
1572,asked,105
1573,kindly,10
1574,proceedeth,10
1575,bad,6
1576,bowing,4
1577,jewels,10
1578,raiment,24
1579,precious,64
1580,tarried,30
1581,Send,23
1582,few,42
1583,least,36
1584,Hinder,1
1585,prospered,6
1586,inquire,8
1587,nurse,7
1588,thousands,31
1589,millions,0
1590,hate,76
1591,damsels,2
1592,rode,14
1593,followed,101
1594,Lahairoi,0
1595,meditate,13
1596,eventide,1
1597,coming,74
1598,lighted,13
1599,camel,4
1600,walketh,40
1601,vail,21
1602,Sarahs,0
1603,loved,75
1604,comforted,24
1605,Keturah,0
1606,Zimran,0
1607,Jokshan,1
1608,Medan,0
1609,Midian,12
1610,Ishbak,0
1611,Shuah,2
1612,Asshurim,0
1613,Letushim,0
1614,Leummim,0
1615,Ephah,0
1616,Epher,0
1617,Hanoch,0
1618,Abidah,0
1619,Eldaah,0
1620,concubines,2
1621,gifts,27
1622,threescore,84
1623,ghost,3
1624,purchased,7
1625,Nebajoth,0
1626,Kedar,3
1627,Adbeel,0
1628,Mibsam,1
1629,Mishma,1
1630,Dumah,0
1631,Massa,0
1632,Hadar,1
1633,Tema,2
1634,Jetur,0
1635,Naphish,0
1636,Kedemah,0
1637,towns,15
1638,castles,2
1639,Syrian,6
1640,Padanaram,1
1641,struggled,1
1642,Two,14
1643,womb,18
1644,stronger,18
1645,fulfilled,39
1646,twins,2
1647,red,12
1648,hairy,4
1649,Esau,51
1650,Esaus,0
1651,Jacob,182
1652,boys,2
1653,cunning,28
1654,venison,0
1655,sod,2
1656,pottage,2
1657,faint,21
1658,Feed,7
1659,Edom,26
1660,Sell,2
1661,birthright,4
1662,point,8
1663,profit,29
1664,Swear,6
1665,sold,68
1666,lentils,0
1667,beside,118
1668,Sojourn,1
1669,perform,37
1670,kept,166
1671,charge,74
1672,commandments,81
1673,statutes,47
